漢字	音訓	例	備考
亜（亞）	ア	亜流，亜麻，亜熱帯	
哀	アイ	哀愁，哀願，悲哀	
哀	あわれ	哀れ，哀れな話，哀れがる	
哀	あわれむ	哀れむ，哀れみ	
挨	アイ	挨拶	
愛	アイ	愛情，愛読，恋愛	愛媛（えひめ）県
曖	アイ	曖昧	
悪（惡）	アク	悪事，悪意，醜悪	
悪（惡）	オ	悪寒，好悪，憎悪	
悪（惡）	わるい	悪い，悪さ，悪者	
握	アク	握手，握力，掌握	
握	にぎる	握る，握り，一握り	
圧（壓）	アツ	圧力，圧迫，気圧	
扱	あつかう	扱う，扱い，客扱い	
宛	あてる	宛てる，宛先	⇔当てる，充てる
嵐	あらし	嵐，砂嵐	
安	アン	安全，安価，不安	
安	やすい	安い，安らかだ	
案	アン	案文，案内，新案	
暗	アン	暗示，暗愚，明暗	
暗	くらい	暗い，暗がり	
以	イ	以上，以内，以後	
衣	イ	衣服，衣食住，作業衣	浴衣（ゆかた）
衣	ころも	衣，羽衣	
位	イ	位置，第一位，各位	「三位一体」，「従三位」は，「サンミイッタイ」，「ジュサンミ」。
位	くらい	位，位取り，位する	
囲（圍）	イ	囲碁，包囲，範囲	
囲（圍）	かこむ	囲む，囲み	
囲（圍）	かこう	囲う，囲い	
医（醫）	イ	医学，医療，名医	
依	イ	依頼，依拠，依然	
依	エ	帰依	
委	イ	委任，委員，委細	
委	ゆだねる	委ねる	
威	イ	威力，威圧，示威	
為（爲）	イ	為政者，行為，作為	為替（かわせ）
畏	イ	畏敬，畏怖	⇔恐れる
畏	おそれる	畏れる，畏れ	
胃	イ	胃腸，胃酸，胃弱	
尉	イ	尉官，一尉，大尉	
異	イ	異論，異同，奇異	
異	こと	異にする，異なる	
移	イ	移転，移民，推移	
移	うつる	移る，移り変わり	
移	うつす	移す	
萎	イ	萎縮	
萎	なえる	萎える	
偉	イ	偉大，偉人，偉観	
偉	えらい	偉い，偉ぶる	
椅	イ	椅子	
彙	イ	語彙	＊［（付）第２の３【剝】参照］
意	イ	意見，意味，決意	意気地（いくじ）
違	イ	違反，違法，相違	
違	ちがう	違う，違い，間違う	
違	ちがえる	違える，見違える，間違える	
