序号	字	Unicode	序号	序號	备注
00001	一	4E00	A00001	常用字	
00002	丁	4E01	A00002	常用字	
00003	七	4E03	A00003	常用字	
00004	三	4E09	A00004	常用字	
00005	下	4E0B	A00005	常用字	
00006	丈	4E08	A00006	常用字	
00007	上	4E0A	A00007	常用字	
00008	丑	4E11	A00008	常用字	
00009	丐	4E10	A00009	常用字	
00010	不	4E0D	A00010	常用字	
00011	丙	4E19	A00011	常用字	
00012	世	4E16	A00012	常用字	
00013	丕	4E15	A00013	常用字	
00014	且	4E14	A00014	常用字	
00015	丘	4E18	A00015	常用字	
00016	丞	4E1E	A00016	常用字	
00017	丟	4E1F	A00017	常用字	
00018	並	4E26	A00018	常用字	
00019	丫	4E2B	A00019	常用字	
00020	中	4E2D	A00020	常用字	
00021	串	4E32	A00021	常用字	
00022	丸	4E38	A00022	常用字	
00023	凡	51E1	A00023	常用字	
00024	丹	4E39	A00024	常用字	
00025	主	4E3B	A00025	常用字	
00026	乃	4E43	A00026	常用字	
00027	久	4E45	A00027	常用字	
00028	么	4E48	A00028	常用字	
00029	之	4E4B	A00029	常用字	
00030	尹	5C39	A00030	常用字	
00031	乍	4E4D	A00031	常用字	
00032	乏	4E4F	A00032	常用字	
00033	乎	4E4E	A00033	常用字	
00034	乒	4E52	A00034	常用字	
00035	乓	4E53	A00035	常用字	
00036	乖	4E56	A00036	常用字	
00037	乘	4E58	A00037	常用字	
00038	乙	4E59	A00038	常用字	
00039	九	4E5D	A00039	常用字	
00040	也	4E5F	A00040	常用字	
00041	乞	4E5E	A00041	常用字	
00042	乩	4E69	A00042	常用字	
00043	乳	4E73	A00043	常用字	
00044	乾	4E7E	A00044	常用字	
00045	亂	4E82	A00045	常用字	
00046	了	4E86	A00046	常用字	
00047	予	4E88	A00047	常用字	
00048	事	4E8B	A00048	常用字	
00049	二	4E8C	A00049	常用字	
00050	于	4E8E	A00050	常用字	
00051	云	4E91	A00051	常用字	
00052	井	4E95	A00052	常用字	
00053	互	4E92	A00053	常用字	
00054	五	4E94	A00054	常用字	
00055	亙	4E99	A00055	常用字	
00056	些	4E9B	A00056	常用字	
00057	亞	4E9E	A00057	常用字	
00058	亟	4E9F	A00058	常用字	
00059	亡	4EA1	A00059	常用字	
