序号	分级	字	繁体字	异体字	汉语拼音	笔画数	笔画分组	通用字分组	简化字总表（1986版）
1	一级	一			yī	一画	一	常用字	
2	一级	乙			yǐ	一画	乛	常用字	
3	一级	二			èr	二画	一	常用字	
4	一级	十			shí	二画	一	常用字	
5	一级	丁			dīng,zhēng	二画	一	常用字	
6	一级	厂	廠		chǎng,ān,hàn	二画	一	常用字	第一表（C）
7	一级	七			qī	二画	一	常用字	
8	一级	卜	～蔔		bǔ,bo	二画	丨	常用字	第一表（B）
9	一级	八			bā	二画	丿	常用字	
10	一级	人			rén	二画	丿	常用字	
11	一级	入			rù	二画	丿	常用字	
12	一级	儿	兒		ér	二画	丿	常用字	第一表（E）
13	一级	匕			bǐ	二画	丿	次常用字	
14	一级	几	～幾		jī,jǐ	二画	丿	常用字	第二表（J）
15	一级	九			jiǔ	二画	丿	常用字	
16	一级	刁			diāo	二画	乛	次常用字	
17	一级	了	～瞭		liǎo,le	二画	乛	常用字	第一表（L）
18	一级	刀			dāo	二画	乛	常用字	
19	一级	力			lì	二画	乛	常用字	
20	一级	乃		廼迺	nǎi	二画	乛	常用字	
21	一级	又			yòu	二画	乛	常用字	
22	一级	三			sān	三画	一	常用字	
23	一级	干	～乾幹	乹亁榦	gān,gàn	三画	一	常用字	第一表（G）
24	一级	于			yú	三画	一	常用字	
25	一级	亏	虧		kuī	三画	一	常用字	第一表（K）
26	一级	工			gōng	三画	一	常用字	
27	一级	土			tǔ	三画	一	常用字	
28	一级	士			shì	三画	一	常用字	
29	一级	才	～纔		cái	三画	一	常用字	第一表（C）
30	一级	下			xià	三画	一	常用字	
31	一级	寸			cùn	三画	一	常用字	
32	一级	大			dà,dài,tài	三画	一	常用字	
33	一级	丈			zhàng	三画	一	常用字	
34	一级	与	與		yǔ,yù,yú	三画	一	常用字	第二表（Y）
35	一级	万	～萬		wàn,mò	三画	一	常用字	第二表（W）
36	一级	上			shàng,shǎng	三画	丨	常用字	
37	一级	小			xiǎo	三画	丨	常用字	
38	一级	口			kǒu	三画	丨	常用字	
39	一级	山			shān	三画	丨	常用字	
40	一级	巾			jīn	三画	丨	常用字	
41	一级	千	～韆		qiān	三画	丿	常用字	第一表（Q）
42	一级	乞			qǐ	三画	丿	常用字	
43	一级	川			chuān	三画	丿	常用字	
44	一级	亿	億		yì	三画	丿	常用字	第一表（Y）
45	一级	个	個	箇	gè,gě	三画	丿	常用字	第一表（G）
46	一级	夕			xī	三画	丿	常用字	
47	一级	久			jiǔ	三画	丿	常用字	
48	一级	么	麽		yāo,mó,ma,me	三画	丿	常用字	第一表（M）
49	一级	勺			sháo	三画	丿	常用字	
50	一级	凡		凢	fán	三画	丿	常用字	
51	一级	丸			wán	三画	丿	常用字	
52	一级	及			jí	三画	丿	常用字	
53	一级	广	廣		guǎng,ān	三画	丶	常用字	第二表（G）
54	一级	亡		亾	wáng,wú	三画	丶	常用字	
55	一级	门	門		mén	三画	丶	常用字	第二表（M）
56	一级	丫		枒椏	yā	三画	丶	通用字	
57	一级	义	義		yì	三画	丶	常用字	第二表（Y）
58	一级	之			zhī	三画	丶	常用字	
59	一级	尸		屍	shī	三画	乛	常用字	
60	一级	己			jǐ	三画	乛	常用字	
61	一级	已			yǐ	三画	乛	常用字	
62	一级	巳			sì	三画	乛	通用字	
63	一级	弓			gōng	三画	乛	常用字	
64	一级	子			zǐ	三画	乛	常用字	
65	一级	卫	衛		wèi	三画	乛	常用字	第一表（W）
66	一级	也			yě	三画	乛	常用字	
67	一级	女			nǚ,rǔ	三画	乛	常用字	
68	一级	刃			rèn	三画	乛	常用字	
69	一级	飞	飛		fēi	三画	乛	常用字	第一表（F）
70	一级	习	習		xí	三画	乛	常用字	第一表（X）
71	一级	叉			chā,chá,chǎ	三画	乛	常用字	
72	一级	马	馬		mǎ	三画	乛	常用字	第二表（M）
73	一级	乡	鄉		xiāng	三画	乛	常用字	第二表（X）
74	一级	丰	～豐		fēng	四画	一	常用字	第二表（F）
75	一级	王			wáng,wàng	四画	一	常用字	
76	一级	开	開		kāi	四画	一	常用字	第一表（K）
77	一级	井			jǐng	四画	一	常用字	
78	一级	天			tiān	四画	一	常用字	
79	一级	夫			fū,fú	四画	一	常用字	
80	一级	元			yuán	四画	一	常用字	
81	一级	无	無		wú	四画	一	常用字	第二表（W）
82	一级	云	～雲		yún	四画	一	常用字	第二表（Y）
83	一级	专	專	耑	zhuān	四画	一	常用字	第二表（Z）
84	一级	丐		匃匄	gài	四画	一	次常用字	
85	一级	扎		紥紮	zā,zhā,zhá	四画	一	常用字	
86	一级	艺	藝		yì	四画	一	常用字	第二表（Y）
87	一级	木			mù	四画	一	常用字	
88	一级	五			wǔ	四画	一	常用字	
89	一级	支			zhī	四画	一	常用字	
90	一级	厅	廳		tīng	四画	一	常用字	第一表（T）
91	一级	不			bù,fǒu	四画	一	常用字	
92	一级	犬			quǎn	四画	一	常用字	
93	一级	太			tài	四画	一	常用字	
94	一级	区	區		qū,ōu	四画	一	常用字	第二表（Q）
95	一级	历	歷曆	歴𠪱厤	lì	四画	一	常用字	第二表（L）
96	一级	歹			dǎi	四画	一	次常用字	
97	一级	友			yǒu	四画	一	常用字	
98	一级	尤			yóu	四画	一	常用字	
99	一级	匹		疋	pǐ	四画	一	常用字	
100	一级	车	車		chē,jū	四画	一	常用字	第二表（C）
101	一级	巨		鉅	jù	四画	一	常用字	
102	一级	牙			yá	四画	一	常用字	
103	一级	屯			tún,zhūn	四画	一	常用字	
104	一级	戈			gē	四画	一	次常用字	
105	一级	比			bǐ	四画	一	常用字	
106	一级	互			hù	四画	一	常用字	
107	一级	切			qiē,qiè	四画	一	常用字	
108	一级	瓦			wǎ,wà	四画	一	常用字	
109	一级	止			zhǐ	四画	丨	常用字	
110	一级	少			shǎo,shào	四画	丨	常用字	
111	一级	曰			yuē	四画	丨	通用字	
112	一级	日			rì	四画	丨	常用字	
113	一级	中			zhōng,zhòng	四画	丨	常用字	
114	一级	贝	貝		bèi	四画	丨	常用字	第二表（B）
115	一级	冈	岡		gāng	四画	丨	常用字	第二表（G）
116	一级	内			nèi,nà	四画	丨	常用字	
117	一级	水			shuǐ	四画	丨	常用字	
118	一级	见	見		jiàn,xiàn	四画	丨	常用字	第二表（J）
119	一级	午			wǔ	四画	丿	常用字	
120	一级	牛			niú	四画	丿	常用字	
121	一级	手			shǒu	四画	丿	常用字	
122	一级	气	氣		qì	四画	丿	常用字	第二表（Q）
123	一级	毛			máo	四画	丿	常用字	
124	一级	壬			rén	四画	丿	通用字	
125	一级	升		昇陞	shēng	四画	丿	常用字	
126	一级	夭		殀	yāo	四画	丿	次常用字	
127	一级	长	長		cháng,zhǎng	四画	丿	常用字	第二表（C）
128	一级	仁			rén	四画	丿	常用字	
129	一级	什			shí,shén	四画	丿	常用字	
130	一级	片			piàn,piān	四画	丿	常用字	
131	一级	仆	～僕		pū,pú	四画	丿	常用字	第一表（P）
132	一级	化			huà,huā	四画	丿	常用字	
133	一级	仇		讐讎	chóu,qiú	四画	丿	常用字	
134	一级	币	幣		bì	四画	丿	常用字	第一表（B）
135	一级	仍			réng	四画	丿	常用字	
136	一级	仅	僅		jǐn,jìn	四画	丿	常用字	第一表（J）
137	一级	斤		觔	jīn	四画	丿	常用字	
138	一级	爪			zhǎo,zhuǎ	四画	丿	常用字	
139	一级	反			fǎn	四画	丿	常用字	
140	一级	介			jiè	四画	丿	常用字	
141	一级	父			fù,fǔ	四画	丿	常用字	
142	一级	从	從		cóng,zòng	四画	丿	常用字	第二表（C）
143	一级	仑	侖	崘崙	lún	四画	丿	次常用字	第二表（L）
144	一级	今			jīn	四画	丿	常用字	
145	一级	凶		兇	xiōng	四画	丿	常用字	
146	一级	分			fēn,fèn	四画	丿	常用字	
147	一级	乏			fá	四画	丿	常用字	
148	一级	公			gōng	四画	丿	常用字	
149	一级	仓	倉		cāng	四画	丿	常用字	第二表（C）
150	一级	月			yuè	四画	丿	常用字	
151	一级	氏			shì,zhī	四画	丿	常用字	
152	一级	勿			wù	四画	丿	常用字	
153	一级	欠			qiàn	四画	丿	常用字	
154	一级	风	風		fēng,fěng	四画	丿	常用字	第二表（F）
155	一级	丹			dān	四画	丿	常用字	
156	一级	匀			yún	四画	丿	常用字	
157	一级	乌	烏		wū	四画	丿	常用字	第二表（W）
158	一级	勾			gōu,gòu	四画	丿	常用字	
159	一级	凤	鳳		fèng	四画	丿	常用字	第一表（F）
160	一级	六			liù,lù	四画	丶	常用字	
161	一级	文			wén	四画	丶	常用字	
162	一级	亢			kàng	四画	丶	通用字	
163	一级	方			fāng	四画	丶	常用字	
164	一级	火			huǒ	四画	丶	常用字	
165	一级	为	爲		wéi,wèi	四画	丶	常用字	第二表（W）
