	중학교용 900	고등학교용 900
가	佳假價加可家歌街 	暇架 
각	各脚角 	刻却覺閣 
간	干看間 	刊姦幹懇簡肝 
갈	渴 	
감	感敢減甘 	監鑑 
갑	甲 	
강	強江講降 	剛康綱鋼 
개	個改皆開 	介慨槪蓋 
객	客 	
갱	更 	
거	去居巨擧車 	拒據距 
건	乾建 	件健 
걸		乞傑 
검		儉劍檢 
격		擊格激隔 
견	堅犬見 	牽絹肩遣 
결	決潔結 	缺 
겸		兼謙 
경	京庚慶敬景競經耕輕驚 	傾卿境徑硬竟警鏡頃 
계	季溪界癸計鷄 	係啓契戒桂械系繫繼階 
고	古告固故考苦高 	姑孤庫枯稿顧鼓 
곡	曲穀谷 	哭 
곤	困坤 	
골	骨 	
공	公共功工空 	供孔恐恭攻貢 
과	果科課過 	寡誇 
곽		郭 
관	官觀關 	冠寬慣管貫館 
광	光廣 	狂鑛 
괘		掛 
괴		塊壞怪愧 
교	交敎校橋 	巧矯較郊 
구	久九口句救求究舊 	丘俱具區懼拘構狗球苟驅龜 
국	國 	局菊 
군	君軍郡 	群 
굴		屈 
궁	弓 	宮窮 
권	勸卷權 	券拳 
궐		厥 
궤		軌 
귀	歸貴 	鬼 
규		叫糾規 
균	均 	菌 
극	極 	克劇 
근	勤根近 	僅斤謹 
금	今禁金 	琴禽錦 
급	及急給 	級 
긍		肯 
기	其基己幾技旣期氣記起 	企器奇寄忌旗棄機欺畿祈紀豈飢騎 
긴		緊 
길	吉 	
나		那 
낙		諾 
난	暖難 	
남	南男 	
납		納 
낭		娘 
내	乃內 	奈耐 
녀	女 	
년	年 	
념	念 	
녕		寧 
노	怒 	努奴 
농	農 	
뇌		惱腦 
능	能 	
니		泥 
다	多 	茶 
단	丹但單短端 	團壇斷旦檀段 
달	達 	
담	談 	擔淡 
답	答 	畓踏 
당	堂當 	唐糖黨 
대	代大對待 	帶臺貸隊 
덕	德 	
도	刀到圖島度徒道都 	倒塗導挑桃渡盜稻跳逃途陶 
독	獨讀 	毒督篤 
돈		敦豚 
돌		突 
동	冬動同東洞童 	凍銅 
두	斗豆頭 	
둔		屯鈍 
득	得 	
등	燈登等 	騰 
라		羅 
락	樂落 	絡 
란	卵 	亂欄蘭 
람		濫覽 
랑	浪郞 	廊 
래	來 	
랭	冷 	
략		掠略 
량	兩涼良量 	梁糧諒 
려	旅 	勵慮麗 
력	力歷 	曆 
련	練連 	憐戀聯蓮鍊 
렬	列烈 	劣裂 
렴		廉 
렵		獵 
령	令領 	嶺零靈 
례	例禮 	隷 
로	勞老路露 	爐 
록	綠 	祿錄鹿 
론	論 	
롱		弄 
뢰		賴雷 
료	料 	了僚 
룡		龍 
루		屢樓淚漏累 
류	柳流留 	類 
륙	六陸 	
륜	倫 	輪 
률	律 	栗率 
륭		隆 
릉		陵 
리	利李理里 	吏履梨裏離 
린		鄰 
림	林 	臨 
립	立 	
마	馬 	磨麻 
막	莫 	幕漠 
만	晚滿萬 	慢漫 
말	末 	
망	亡忙忘望 	妄罔茫 
매	妹每買賣 	埋媒梅 
맥	麥 	脈 
맹		孟猛盟盲 
면	免勉眠面 	綿 
멸		滅 
명	名命明鳴 	冥銘 
모	暮母毛 	侮冒募慕某模謀貌 
목	木目 	牧睦 
몰		沒 
몽		夢蒙 
묘	卯妙 	墓廟苗 
무	務戊武無舞茂 	貿霧 
묵	墨 	默 
문	問文聞門 	
물	勿物 	
미	味尾未米美 	微眉迷 
민	民 	憫敏 
밀	密 	蜜 
박	朴 	博拍泊薄迫 
