序号	字	Unicode	常用字分组	备注
0001	一	4E00	常用	
0002	丁	4E01	常用	
0003	七	4E03	常用	
0004	三	4E09	常用	
0005	下	4E0B	常用	
0006	上	4E0A	常用	
0007	丈	4E08	常用	
0008	丑	4E11	常用	
0009	丐	4E10	常用	
0010	不	4E0D	常用	
0011	丕	4E15	常用	
0012	丙	4E19	常用	
0013	世	4E16	常用	
0014	且	4E14	常用	
0015	丘	4E18	常用	
0016	丞	4E1E	常用	
0017	丟	4E1F	常用	
0018	丢	4E22	常用	
0019	並	4E26	常用	
0020	丫	4E2B	常用	
0021	中	4E2D	常用	
0022	串	4E32	常用	
0023	丸	4E38	常用	
0024	凡	51E1	常用	
0025	丹	4E39	常用	
0026	主	4E3B	常用	
0027	乃	4E43	常用	
0028	久	4E45	常用	
0029	之	4E4B	常用	
0030	尹	5C39	常用	
0031	乍	4E4D	常用	
0032	乏	4E4F	常用	
0033	乎	4E4E	常用	
0034	乒	4E52	常用	
0035	乓	4E53	常用	
0036	乖	4E56	常用	
0037	乘	4E58	常用	
0038	乙	4E59	常用	
0039	九	4E5D	常用	
0040	也	4E5F	常用	
0041	乞	4E5E	常用	
0042	乩	4E69	常用	
0043	乳	4E73	常用	
0044	乾	4E7E	常用	
0045	亂	4E82	常用	
0046	了	4E86	常用	
0047	予	4E88	常用	
0048	事	4E8B	常用	
0049	二	4E8C	常用	
0050	于	4E8E	常用	
0051	云	4E91	常用	
0052	井	4E95	常用	
0053	互	4E92	常用	
0054	五	4E94	常用	
0055	亙	4E99	常用	
0056	些	4E9B	常用	
0057	亞	4E9E	常用	
0058	亟	4E9F	常用	
0059	亡	4EA1	常用	
0060	交	4EA4	常用	
0061	亦	4EA6	常用	
0062	亥	4EA5	常用	
0063	亨	4EA8	常用	
0064	享	4EAB	常用	
0065	京	4EAC	常用	
0066	亭	4EAD	常用	
0067	亮	4EAE	常用	
0068	人	4EBA	常用	
0069	仁	4EC1	常用	
0070	什	4EC0	常用	
0071	仃	4EC3	常用	
0072	今	4ECA	常用	
0073	仄	4EC4	常用	
0074	仆	4EC6	常用	【A級】
0075	仇	4EC7	常用	
0076	仍	4ECD	常用	
0077	介	4ECB	常用	
0078	付	4ED8	常用	
0079	仔	4ED4	常用	
0080	仕	4ED5	常用	
0081	他	4ED6	常用	
0082	仗	4ED7	常用	
0083	代	4EE3	常用	
0084	令	4EE4	常用	
0085	仞	4EDE	常用	
0086	以	4EE5	常用	
0087	仙	4ED9	常用	
0088	仿	4EFF	常用	
0089	伉	4F09	常用	
0090	伙	4F19	常用	
0091	伊	4F0A	常用	
0092	伕	4F15	常用	
0093	伍	4F0D	常用	
0094	伐	4F10	常用	
0095	休	4F11	常用	
0096	伏	4F0F	常用	
0097	任	4EFB	常用	
0098	仼	4EFC	常用	
0099	仳	4EF3	常用	
0100	仲	4EF2	常用	
0101	企	4F01	常用	【A級】
0102	件	4EF6	常用	
0103	仰	4EF0	常用	
0104	份	4EFD	常用	
0105	位	4F4D	常用	
0106	住	4F4F	常用	
0107	佇	4F47	常用	
0108	佗	4F57	常用	
0109	伴	4F34	常用	
0110	佞	4F5E	常用	
0111	佛	4F5B	常用	
0112	何	4F55	常用	
0113	估	4F30	常用	
0114	佐	4F50	常用	
0115	佑	4F51	常用	
0116	佈	4F48	常用	
0117	伽	4F3D	常用	
0118	伺	4F3A	常用	
0119	伸	4F38	常用	
0120	佃	4F43	常用	
0121	佔	4F54	常用	
0122	似	4F3C	常用	
0123	但	4F46	常用	
0124	佣	4F63	常用	
0125	作	4F5C	常用	
0126	你	4F60	常用	
0127	伯	4F2F	常用	
0128	低	4F4E	常用	
0129	伶	4F36	常用	
0130	余	4F59	常用	
0131	佝	4F5D	常用	
0132	佯	4F6F	常用	
0133	依	4F9D	常用	
0134	併	4F75	常用	
0135	侍	4F8D	常用	
0136	佳	4F73	常用	
0137	使	4F7F	常用	
0138	佬	4F6C	常用	
0139	供	4F9B	常用	
0140	例	4F8B	常用	
0141	來	4F86	常用	
0142	佰	4F70	常用	
0143	侃	4F83	常用	
0144	侈	4F88	常用	
0145	佩	4F69	常用	
0146	佻	4F7B	常用	
0147	侖	4F96	常用	
0148	侏	4F8F	常用	
0149	信	4FE1	常用	
0150	侵	4FB5	常用	
0151	侯	4FAF	常用	
0152	便	4FBF	常用	
0153	俠	4FE0	常用	
0154	俑	4FD1	常用	
0155	俏	4FCF	常用	
0156	保	4FDD	常用	
0157	促	4FC3	常用	
0158	侶	4FB6	常用	
0159	俚	4FDA	常用	
0160	俘	4FD8	常用	
0161	俟	4FDF	常用	
0162	俊	4FCA	常用	
0163	俗	4FD7	常用	
0164	侮	4FAE	常用	
0165	俐	4FD0	常用	
0166	俄	4FC4	常用	
0167	係	4FC2	常用	
0168	俎	4FCE	常用	
0169	俞	4FDE	常用	
0170	倌	500C	常用	
0171	倍	500D	常用	
0172	倣	5023	常用	
0173	俯	4FEF	常用	
0174	倦	5026	常用	
0175	倥	5025	常用	
0176	俸	4FF8	常用	
0177	倩	5029	常用	
0178	倖	5016	常用	
0179	倆	5006	常用	
0180	值	503C	常用	
0181	借	501F	常用	
0182	倚	501A	常用	
0183	倒	5012	常用	
0184	們	5011	常用	
0185	俺	4FFA	常用	
0186	倀	5000	常用	
0187	倔	5014	常用	
0188	倨	5028	常用	
0189	倶	5036	常用	
0190	倡	5021	常用	
0191	個	500B	常用	
0192	候	5019	常用	
0193	倘	5018	常用	
0194	俳	4FF3	常用	
0195	修	4FEE	常用	
0196	倭	502D	常用	
0197	倪	502A	常用	
0198	俾	4FFE	常用	【A級】
0199	倫	502B	常用	
0200	倉	5009	常用	
0201	偽	507D	常用	
0202	停	505C	常用	
0203	偏	504F	常用	
0204	假	5047	常用	
0205	偃	5043	常用	
0206	偌	504C	常用	
0207	做	505A	常用	
0208	偉	5049	常用	
0209	健	5065	常用	
0210	偶	5076	常用	
0211	偎	504E	常用	
0212	偕	5055	常用	
0213	偵	5075	常用	
0214	側	5074	常用	
0215	倏	500F	常用	
0216	偷	5077	常用	
0217	傢	50A2	常用	
0218	傍	508D	常用	
0219	傅	5085	常用	
0220	備	5099	常用	
0221	傑	5091	常用	
0222	傀	5080	常用	
0223	傖	5096	常用	
0224	傘	5098	常用	
0225	傭	50AD	常用	
0226	債	50B5	常用	
0227	傲	50B2	常用	
0228	傳	50B3	常用	
0229	僅	50C5	常用	
0230	傾	50BE	常用	
0231	催	50AC	常用	
0232	傷	50B7	常用	
0233	傻	50BB	常用	
0234	僧	50E7	常用	
0235	僮	50EE	常用	
0236	僱	50F1	常用	
0237	僥	50E5	常用	
0238	僭	50ED	常用	
0239	僖	50D6	常用	
0240	僚	50DA	常用	
0241	僕	50D5	常用	
0242	像	50CF	常用	
0243	僑	50D1	常用	
0244	億	5104	常用	
0245	儀	5100	常用	
0246	僻	50FB	常用	
0247	僵	50F5	常用	
0248	價	50F9	常用	
0249	儂	5102	常用	
0250	儈	5108	常用	
0251	儉	5109	常用	
0252	儐	5110	常用	
0253	儒	5112	常用	
0254	儘	5118	常用	
0255	儔	5114	常用	
0256	儲	5132	常用	
0257	優	512A	常用	
0258	償	511F	常用	
0259	儡	5121	常用	
0260	儷	5137	常用	
0261	儼	513C	常用	
0262	兀	5140	常用	
0263	元	5143	常用	
0264	允	5141	常用	
0265	兄	5144	常用	
0266	充	5145	常用	
0267	光	5149	常用	
0268	兇	5147	常用	
0269	兆	5146	常用	
0270	先	5148	常用	
0271	克	514B	常用	
0272	兌	514C	常用	
0273	兑	5151	常用	
0274	免	514D	常用	
0275	兕	5155	常用	
0276	兔	5154	常用	
0277	兒	5152	常用	
0278	兗	5157	常用	
0279	兜	515C	常用	
0280	兢	5162	常用	
0281	入	5165	常用	
0282	內	5167	常用	
0283	全	5168	常用	
0284	兩	5169	常用	
0285	八	516B	常用	
0286	六	516D	常用	
0287	兮	516E	常用	
0288	公	516C	常用	
0289	共	5171	常用	
0290	兵	5175	常用	
0291	具	5177	常用	
0292	其	5176	常用	
0293	典	5178	常用	
0294	兼	517C	常用	
0295	冀	5180	常用	
0296	冉	5189	常用	
0297	冊	518A	常用	
0298	再	518D	常用	
0299	冒	5192	常用	
0300	冑	5191	常用	
0301	冕	5195	常用	
0302	最	6700	常用	
0303	冠	51A0	常用	
0304	冢	51A2	常用	
0305	冥	51A5	常用	
0306	冤	51A4	常用	
0307	冬	51AC	常用	
0308	冰	51B0	常用	
0309	冶	51B6	常用	
0310	冷	51B7	常用	
0311	冽	51BD	常用	
0312	凍	51CD	常用	
0313	凌	51CC	常用	
0314	准	51C6	常用	
0315	凋	51CB	常用	
0316	凜	51DC	常用	
0317	凝	51DD	常用	
0318	几	51E0	常用	
0319	凰	51F0	常用	
0320	凱	51F1	常用	
0321	凳	51F3	常用	
0322	櫈	6AC8	常用	【2級】
0323	凶	51F6	常用	
0324	凹	51F9	常用	
0325	出	51FA	常用	
0326	凸	51F8	常用	
0327	函	51FD	常用	
0328	刀	5200	常用	
0329	刁	5201	常用	
0330	刃	5203	常用	
0331	切	5207	常用	
0332	分	5206	常用	
0333	刈	5208	常用	
0334	刊	520A	常用	
0335	列	5217	常用	
0336	刑	5211	常用	
0337	划	5212	常用	
0338	刎	520E	常用	
0339	判	5224	常用	
0340	别	522B	常用	
0341	刪	522A	常用	
0342	利	5229	常用	
0343	刨	5228	常用	
0344	刻	523B	常用	
0345	券	5238	常用	
0346	刷	5237	常用	
0347	刺	523A	常用	
0348	到	5230	常用	
0349	刮	522E	常用	
0350	制	5236	常用	
0351	剁	5241	常用	
0352	剃	5243	常用	
0353	前	524D	常用	
0354	剌	524C	常用	
0355	剋	524B	常用	
0356	尅	5C05	常用	【5級】
0357	則	5247	常用	
0358	削	524A	常用	
0359	剎	524E	常用	
0360	剖	5256	常用	
0361	剜	525C	常用	
0362	剔	5254	常用	
0363	剛	525B	常用	
0364	剝	525D	常用	
0365	剪	526A	常用	
0366	副	526F	常用	
0367	割	5272	常用	
0368	剴	5274	常用	
0369	創	5275	常用	
0370	剩	5269	常用	
0371	剷	5277	常用	
0372	剽	527D	常用	
0373	剿	527F	常用	
0374	劃	5283	常用	
0375	劈	5288	常用	
0376	劇	5287	常用	
0377	劉	5289	常用	
0378	劍	528D	常用	
0379	劑	5291	常用	
0380	力	529B	常用	
0381	加	52A0	常用	
0382	功	529F	常用	
0383	劣	52A3	常用	
0384	劫	52AB	常用	
0385	助	52A9	常用	
0386	努	52AA	常用	
0387	劬	52AC	常用	
0388	劾	52BE	常用	
0389	勇	52C7	常用	
0390	勃	52C3	常用	
0391	勉	52C9	常用	
0392	勁	52C1	常用	
0393	勒	52D2	常用	
